,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0,0.0,2018-06-26 21:20:15+00:00,1.0,0.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",1,@bbc
1,0.0,2018-06-26 19:05:08+00:00,1.0,0.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",2,@bbc
2,0.296,2018-06-26 18:03:06+00:00,0.792,0.074,0.134,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",3,@bbc
3,0.0,2018-06-26 17:02:02+00:00,1.0,0.0,0.0,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,4,@bbc
4,0.0,2018-06-26 16:33:41+00:00,1.0,0.0,0.0,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",5,@bbc
5,0.0,2018-06-26 16:00:15+00:00,1.0,0.0,0.0,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y,6,@bbc
6,0.0,2018-06-26 14:52:03+00:00,1.0,0.0,0.0,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…",7,@bbc
7,0.836,2018-06-26 14:32:33+00:00,0.683,0.0,0.317,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…",8,@bbc
8,0.611,2018-06-26 13:12:16+00:00,0.818,0.0,0.182,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…",9,@bbc
9,0.0,2018-06-26 12:58:04+00:00,1.0,0.0,0.0,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt",10,@bbc
10,0.527,2018-06-26 12:02:04+00:00,0.673,0.0,0.327,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K",11,@bbc
11,0.0,2018-06-26 11:02:03+00:00,1.0,0.0,0.0,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv",12,@bbc
12,0.0,2018-06-26 09:30:00+00:00,1.0,0.0,0.0,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN",13,@bbc
13,-0.273,2018-06-26 08:00:16+00:00,0.861,0.139,0.0,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L,14,@bbc
14,-0.772,2018-06-26 07:26:08+00:00,0.705,0.295,0.0,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb",15,@bbc
15,0.599,2018-06-26 07:00:12+00:00,0.738,0.0,0.262,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG,16,@bbc
16,0.361,2018-06-25 18:03:04+00:00,0.815,0.0,0.185,✨ These women are ditching their straighteners and embracing their natural hair. https://t.co/BTgEiHth2E,17,@bbc
17,0.0,2018-06-25 17:31:08+00:00,1.0,0.0,0.0,Two teams of junior doctors from teaching hospitals around Britain go head to head in a medical-themed quiz show. 🏥… https://t.co/1z99Ax1RcK,18,@bbc
18,0.273,2018-06-25 16:02:03+00:00,0.769,0.0,0.231,"🙌😂 Well, that escalated quickly.
#HearHer #LiveAtTheApollo  https://t.co/4Bfa81zCSI",19,@bbc
19,-0.552,2018-06-25 15:01:34+00:00,0.771,0.229,0.0,RT @BBCTwo: SO much tension between Louis and the Queen! 😬👑🇫🇷 #Versailles https://t.co/mT2tDG3Hen,20,@bbc
20,0.318,2018-06-25 14:57:32+00:00,0.839,0.0,0.161,RT @BBCTwo: brb just gonna pop inside for some fresh air... ☀️😰 https://t.co/rlTBirEDF2,21,@bbc
21,0.542,2018-06-25 13:48:41+00:00,0.836,0.0,0.164,"RT @bbcarts: If you’re from the North this will make you well up with pride. ❤️
@lemnsissay delivers an impassioned reading of the poem he…",22,@bbc
22,0.636,2018-06-25 13:03:07+00:00,0.656,0.0,0.344,"🐶😍 They're all beautiful in our eyes! 
#WorldsUgliestDog https://t.co/qrQgVqtwt4",23,@bbc
23,0.572,2018-06-25 12:04:05+00:00,0.802,0.0,0.198,🙌💪 @ChelseaClinton says it's time we rethink gender stereotypes and work harder to celebrate women. https://t.co/xgejAk33oK,24,@bbc
24,0.34,2018-06-25 11:01:03+00:00,0.741,0.104,0.156,"📖✨🌲 From the Forbidden Forest at Hogwarts to Pooh's Hundred Acre Wood, here are six magical forests we love from ch… https://t.co/hCU6am8R3o",25,@bbc
25,0.0,2018-06-25 10:12:49+00:00,1.0,0.0,0.0,"🌋 Lava from Hawaii's Kilauea volcano creeps closer to more homes. 
 https://t.co/NfFXiwtVy7",26,@bbc
26,-0.422,2018-06-25 08:03:05+00:00,0.872,0.128,0.0,This headteacher is budgeting to buy hygiene products for pupils as she's found some parents are struggling to affo… https://t.co/Bm4PrQ8ucC,27,@bbc
27,0.0,2018-06-25 07:26:06+00:00,1.0,0.0,0.0,"🤖 What does it mean for AI to have a soul?
👉 https://t.co/OkxIzH9cA2 https://t.co/XcEYkoIbst",28,@bbc
28,-0.649,2018-06-25 07:00:13+00:00,0.699,0.301,0.0,Should we bring the woolly mammoth back from the dead? https://t.co/PASQyyoCXW,29,@bbc
29,0.0,2018-06-24 19:03:02+00:00,1.0,0.0,0.0,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",30,@bbc
30,-0.557,2018-06-24 18:32:03+00:00,0.833,0.167,0.0,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,31,@bbc
31,0.599,2018-06-24 18:10:27+00:00,0.755,0.0,0.245,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",32,@bbc
32,-0.527,2018-06-24 18:04:04+00:00,0.805,0.195,0.0,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",33,@bbc
33,0.67,2018-06-24 17:08:05+00:00,0.658,0.078,0.263,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",34,@bbc
34,0.0,2018-06-24 16:02:06+00:00,0.787,0.106,0.106,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",35,@bbc
35,0.0,2018-06-24 15:18:03+00:00,1.0,0.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",36,@bbc
36,0.586,2018-06-24 14:29:47+00:00,0.826,0.0,0.174,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",37,@bbc
37,0.0,2018-06-24 14:20:08+00:00,1.0,0.0,0.0,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",38,@bbc
38,-0.422,2018-06-24 13:03:02+00:00,0.865,0.135,0.0,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",39,@bbc
39,0.0,2018-06-24 12:02:03+00:00,1.0,0.0,0.0,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,40,@bbc
40,0.827,2018-06-24 11:04:03+00:00,0.688,0.0,0.312,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",41,@bbc
41,0.294,2018-06-24 10:52:39+00:00,0.897,0.0,0.103,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",42,@bbc
42,0.361,2018-06-24 10:03:02+00:00,0.783,0.0,0.217,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",43,@bbc
43,0.627,2018-06-24 09:33:12+00:00,0.745,0.0,0.255,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",44,@bbc
44,0.34,2018-06-24 09:04:05+00:00,0.882,0.0,0.118,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",45,@bbc
45,0.0,2018-06-24 08:37:50+00:00,1.0,0.0,0.0,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",46,@bbc
46,0.0,2018-06-24 08:20:08+00:00,1.0,0.0,0.0,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",47,@bbc
47,0.318,2018-06-24 07:01:05+00:00,0.413,0.24,0.347,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",48,@bbc
48,0.0,2018-06-23 20:12:00+00:00,1.0,0.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",49,@bbc
49,0.0,2018-06-23 19:02:02+00:00,1.0,0.0,0.0,"Live coverage of England's clash with New Zealand in Colorado, USA. 🏉

Rugby League: New Zealand v England | 9pm |… https://t.co/gNfWK4lAsg",50,@bbc
50,0.572,2018-06-23 17:06:01+00:00,0.821,0.0,0.179,☀️🙌 Thousands of people gathered at Stonehenge this week to watch the sunrise and celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,51,@bbc
51,0.741,2018-06-23 16:02:02+00:00,0.614,0.0,0.386,"⚽🐝 Goal!!!
These clever bumblebees have been taught to play football. https://t.co/00fEPKxEYQ",52,@bbc
52,0.402,2018-06-23 15:00:27+00:00,0.847,0.0,0.153,"📱♿️ This 13-year-old made an app to help disabled people find accessible services. 
(via @BBCThree) https://t.co/EkjrhQOFi3",53,@bbc
53,0.0,2018-06-23 14:02:01+00:00,1.0,0.0,0.0,"Unlocking the hidden life of Frida Kahlo.
👉 https://t.co/g8KqGCs5JX https://t.co/SyRnFXRvNQ",54,@bbc
54,0.0,2018-06-23 12:57:05+00:00,1.0,0.0,0.0,"🎶🎤Meet the stockbroker who writes hits for @LittleMix and @JessGlynne 

https://t.co/zYl0M4CHcj https://t.co/s8HYxwiDKr",55,@bbc
55,0.0,2018-06-23 12:00:16+00:00,1.0,0.0,0.0,"🎶 SOUND ON 🎶 
Below the big blue there is green! 💚
#OurBluePlanet w/ @OceanX https://t.co/E46jJvtmrN",56,@bbc
56,0.0,2018-06-23 11:01:06+00:00,1.0,0.0,0.0,"Faced with extreme weather, Bolivian farmers are going underground.
#BBCTakingTheTemperature https://t.co/ocATWI0jPL",57,@bbc
57,0.0,2018-06-23 10:02:04+00:00,0.675,0.143,0.183,"The ban on microbeads in certain products has begun in England and Scotland.

Here are some natural alternatives so… https://t.co/vqESNyr5qD",58,@bbc
58,0.0,2018-06-23 09:01:05+00:00,1.0,0.0,0.0,"😍🐿 Baby squirrels grow up so fast! 
#SuperSquirrels https://t.co/NzSE4lUIC8",59,@bbc
59,0.273,2018-06-23 07:59:02+00:00,0.86,0.0,0.14,There has been a significant fall in the number of cases of HPV following the introduction of a vaccine for young w… https://t.co/19trkIMZ91,60,@bbc
60,0.0,2018-06-23 07:22:00+00:00,1.0,0.0,0.0,"♻️🌍Small actions can make a big difference. 
#PlasticsAction

https://t.co/AWXUYNJ4e3 https://t.co/9Khy2bq19Z",61,@bbc
61,0.637,2018-06-22 19:11:28+00:00,0.741,0.0,0.259,"RT @BBCBreakfast: So many reasons to love the #NorthEast of #England.
#Inventions https://t.co/xVseuMG347",62,@bbc
62,0.25,2018-06-22 19:11:15+00:00,0.913,0.0,0.087,"RT @bbcworldservice: Born without a jaw, Isaiah Acosta has never spoken a word, yet he’s gone on to fulfil his dream of becoming a rapper.…",63,@bbc
63,0.0,2018-06-22 19:10:41+00:00,1.0,0.0,0.0,"RT @bbcstories: Today marks 70 years since the arrival of Caribbean migrants on the Empire Windrush ship to the UK.

 Back in 2018, how has…",64,@bbc
64,0.752,2018-06-22 19:10:14+00:00,0.735,0.0,0.265,RT @BBCTwo: How long would it take you to demolish this AMAZING burger? 🍔😵 #MillionPoundMenu https://t.co/KH8VHK2rE6,65,@bbc
65,0.361,2018-06-22 19:09:53+00:00,0.902,0.0,0.098,"RT @BBCFOUR: With over 10,000 credits, Carol Kaye is one of the most prolific bassists of all time – and her bragging rights are *amazing*.…",66,@bbc
66,0.422,2018-06-22 19:04:06+00:00,0.833,0.0,0.167,"❤️🐿 Meet the sabre-toothed squirrel whose life was saved by an amateur dentist.
👉 https://t.co/C6gXwp7Yke https://t.co/fp3vGzEW5S",67,@bbc
67,-0.318,2018-06-22 18:01:05+00:00,0.85,0.15,0.0,"😂👛 Everyone has that one mate who always loses their purse... 
#HearHer #LiveAtTheApollo https://t.co/DinViMhGVm",68,@bbc
68,0.0,2018-06-22 17:00:21+00:00,1.0,0.0,0.0,🐾🐶💕 Would you give a deaf dog a home? https://t.co/sjbsjOEzqT,69,@bbc
69,0.0,2018-06-22 16:01:00+00:00,1.0,0.0,0.0,"When the weekend's so close you can almost touch it...  🙌 #FridayFeeling
 @Camila_Cabello https://t.co/eosSiBxZft",70,@bbc
70,0.0,2018-06-22 13:02:03+00:00,1.0,0.0,0.0,"😂🎤 Hello, it's literally me... 
#HearHer https://t.co/7XMLDQMR3B",71,@bbc
71,0.0,2018-06-22 12:03:05+00:00,1.0,0.0,0.0,Questions for a Sikh https://t.co/UhKZNiTRtC,72,@bbc
72,-0.34,2018-06-22 11:00:13+00:00,0.789,0.211,0.0,"Why do only some people get blackout drunk?
👉 https://t.co/4C8KOCcSsU https://t.co/8S8axGO0F5",73,@bbc
73,0.0,2018-06-22 08:01:04+00:00,1.0,0.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/SXJJG4hnMG",74,@bbc
74,0.663,2018-06-22 07:28:05+00:00,0.482,0.14,0.378,"'Always forgive your enemies; nothing annoys them so much.'

Oscar Wilde's best quotes.
👉 https://t.co/4ldEknyrSW https://t.co/vr8KdzXP89",75,@bbc
75,0.0,2018-06-22 07:00:04+00:00,1.0,0.0,0.0,"'I wax my face every 2 weeks and haven't been able to get pregnant, but I won't let polycystic ovary syndrome defin… https://t.co/uyNbPpgeY7",76,@bbc
76,-0.202,2018-06-21 19:03:04+00:00,0.816,0.184,0.0,"😂 That time @NoelFielding11 confronted some rowdy teens…
#LiveAtTheApollo https://t.co/tV9SB4r8Yz",77,@bbc
77,0.0,2018-06-21 18:01:06+00:00,1.0,0.0,0.0,📱 Is social media impacting how we express ourselves?  https://t.co/nADRuAW49x,78,@bbc
78,0.313,2018-06-21 16:42:25+00:00,0.811,0.062,0.127,"RT @bbcthree: What it feels like when you don't want your baby. #HearHer
(turn on your sound) https://t.co/7ErzX8p7Ag",79,@bbc
79,0.0,2018-06-21 16:01:04+00:00,1.0,0.0,0.0,😍 The Scottish coast is incredible! https://t.co/pn2LdiZwdQ,80,@bbc
80,0.807,2018-06-21 16:00:09+00:00,0.687,0.0,0.313,"RT @BBCRadio4: Activist
Poet
Director
Actor
Writer...
...and inspiration
@Aardman Animations made a beautiful short film about Maya Angelou…",81,@bbc
81,-0.751,2018-06-21 13:02:34+00:00,0.686,0.314,0.0,"💔🦍 Koko the gorilla has sadly died, aged 46.

Here's the story of her life. https://t.co/rIRb7mHpJx",82,@bbc
82,0.0,2018-06-21 12:28:30+00:00,1.0,0.0,0.0,"RT @BBCOne: In 1979, one surgeon was about to make NHS history by performing the UK's first heart transplant. https://t.co/HmUZBE5MLd",83,@bbc
83,0.0,2018-06-21 12:25:47+00:00,1.0,0.0,0.0,"RT @bbcarts: Artistic Director at @royalcourt, @vicfeatherstone, has curated #Snatches - a series of provocative monologues, written and pe…",84,@bbc
84,0.784,2018-06-21 12:01:06+00:00,0.699,0.0,0.301,Tessa Sanderson was the first British woman to win an Olympic gold medal in the javelin. #HearHer https://t.co/Kqff1C4QSe,85,@bbc
85,0.0,2018-06-21 11:01:04+00:00,1.0,0.0,0.0,"🥗 What's behind the rise in veganism?
👉 https://t.co/26dyqv3CWQ https://t.co/KZd2kBVkNW",86,@bbc
86,0.0,2018-06-21 09:55:19+00:00,1.0,0.0,0.0,"❤️👶 New Zealand's Prime Minister Jacinda Ardern has given birth to a baby girl, making her only the second elected… https://t.co/7LDkCupd1c",87,@bbc
87,0.572,2018-06-21 09:13:56+00:00,0.791,0.0,0.209,☀️ Thousands of people have witnessed the sunrise at Stonehenge to celebrate the #SummerSolstice. https://t.co/f0PA5HYgRK,88,@bbc
88,-0.898,2018-06-21 08:01:01+00:00,0.558,0.442,0.0,"When a fire at a children's home in Guatemala killed dozens of teenage girls, it exposed a terrifying culture of ab… https://t.co/saKLWSu1NT",89,@bbc
89,0.611,2018-06-21 07:45:57+00:00,0.846,0.0,0.154,"☀️ Happy #SummerSolstice! 
Today has an average of 16h 39m of daylight in the UK - that's 8h 49m more than during t… https://t.co/Vg1QFQNU0r",90,@bbc
90,-0.511,2018-06-21 07:27:03+00:00,0.633,0.258,0.109,"🐸👀 Frogs trapped in amber for 99 million years are giving a glimpse of a lost world.
👉 https://t.co/FP7lgt3bLE https://t.co/W6F1W0PCtI",91,@bbc
91,0.637,2018-06-21 07:01:04+00:00,0.656,0.0,0.344,🎧🐦🎶 Five glorious minutes of a Caribbean dawn chorus. https://t.co/9t1PVkC4Kn,92,@bbc
92,0.599,2018-06-20 20:02:08+00:00,0.726,0.0,0.274,🎣 @realbobmortimer and Paul Whitehouse share their personal and hilarious life experiences while travelling around… https://t.co/NeZ1V04R74,93,@bbc
93,-0.402,2018-06-20 18:00:25+00:00,0.69,0.31,0.0,"🍷 @Rihanna. Wine glass stealer extraordinaire.
#TheGNShow https://t.co/no25tcxHJj",94,@bbc
94,0.494,2018-06-20 17:32:05+00:00,0.593,0.136,0.271,"Discover Porthcawl Elvis Festival, the largest Elvis festival in the world... 

Mad About Elvis | 7:30pm | @BBCOne… https://t.co/JBFFZhtPMD",95,@bbc
95,0.0,2018-06-20 16:00:26+00:00,1.0,0.0,0.0,"Gaming addiction is listed as mental health condition for first time by @WHO.

How much is too much? https://t.co/hB16QHI6B8",96,@bbc
96,0.318,2018-06-20 14:35:32+00:00,0.905,0.0,0.095,"RT @bbcworldservice: How the promise of dance lessons can keep children in school. 
 
@SunkitYole is just one of the nominees for the Outlo…",97,@bbc
97,0.0,2018-06-20 13:05:22+00:00,1.0,0.0,0.0,RT @bbcthesocial: Salih fled Syria and travelled all the way to Scotland. He designed a tattoo to illustrate his incredible journey 💙 #Worl…,98,@bbc
98,0.556,2018-06-20 13:02:04+00:00,0.848,0.0,0.152,A baby boy who was born on a Paris commuter train has been given free rail travel until he is 25! 👶🇫🇷🎉… https://t.co/XeAeCBBjLj,99,@bbc
99,0.758,2018-06-20 12:00:21+00:00,0.764,0.0,0.236,"100 years after women won the right to vote, are we really any closer to true gender equality in 2018? @BBCArts ask… https://t.co/qrc2yQ5WqF",100,@bbc
100,0.0,2018-06-27 00:00:02+00:00,1.0,0.0,0.0,Evening News: Jeff Glor meets with a group of California voters from different sides of the political spectrum to g… https://t.co/4Jmf3z2fFq,1,@cbsnews
101,0.0,2018-06-26 23:39:49+00:00,1.0,0.0,0.0,"In San Francisco, a six-digit salary can mean you qualify as a low-income resident https://t.co/8kPxm8N2kZ https://t.co/vsWWLTDZl0",2,@cbsnews
102,-0.649,2018-06-26 23:20:31+00:00,0.739,0.261,0.0,Cellphone video shows moment a passenger became enraged after her flight made an emergency landing in Minnesota… https://t.co/weG2QB2bY2,3,@cbsnews
103,-0.802,2018-06-26 23:09:03+00:00,0.714,0.286,0.0,"UPDATE: One person was killed and 12 others were injured during an explosion at a hospital in Gatesville, Texas, au… https://t.co/Kl5eu1AqS4",4,@cbsnews
104,0.796,2018-06-26 23:01:54+00:00,0.705,0.0,0.295,"An American hero received the highest military award today. 

1st Lt. Garlin Conner's story was largely unknown unt… https://t.co/dmIMmyrT8W",5,@cbsnews
105,0.0,2018-06-26 23:00:45+00:00,1.0,0.0,0.0,Polls are closing soon in several states holding primaries on Tuesday. Follow our live blog for updates:… https://t.co/l4i7yVu9m6,6,@cbsnews
106,0.026,2018-06-26 22:52:15+00:00,0.95,0.0,0.05,"In San Francisco, the housing market is red hot and quickly getting out of reach for many. A report says the median… https://t.co/hJpgfAyQOR",7,@cbsnews
107,-0.637,2018-06-26 22:48:20+00:00,0.556,0.319,0.126,Encouraging news in the fight against an aggressive type of brain cancer. New research shows an experimental treatm… https://t.co/0oBOdpAuEZ,8,@cbsnews
108,-0.765,2018-06-26 22:46:40+00:00,0.664,0.336,0.0,"Fire crews in northern California are struggling to contain the massive Pawnee Fire. 

Mark Strassmann reports from… https://t.co/WEfiEMcAWT",9,@cbsnews
109,-0.402,2018-06-26 22:44:17+00:00,0.847,0.153,0.0,"An explosion at a hospital outside Waco, Texas, left several people injured.

@DavidBegnaud has the latest:… https://t.co/fCQgZdzUQB",10,@cbsnews
110,0.0,2018-06-26 22:41:43+00:00,1.0,0.0,0.0,".@jeffglor sat down with a group of voters in California. Three identify as liberals, three as conservatives. 

We… https://t.co/YAsSEBoguQ",11,@cbsnews
111,0.296,2018-06-26 22:39:13+00:00,0.891,0.0,0.109,"""[Supreme Court] Justice Kennedy has said privately that he is considering retirement, but the question is: When? E… https://t.co/L4MBhxXMBy",12,@cbsnews
112,0.402,2018-06-26 22:36:30+00:00,0.595,0.134,0.271,"In a landmark ruling, the Supreme Court upheld its newest version of the travel ban, giving the president a large l… https://t.co/VxWJC5Sedl",13,@cbsnews
113,-0.402,2018-06-26 22:17:01+00:00,0.876,0.124,0.0,Bank of America allegedly is neglecting basic upkeep of foreclosed homes in black and Latino neighborhoods in 37 ci… https://t.co/XG17Tjq3AU,14,@cbsnews
114,-0.917,2018-06-26 22:00:58+00:00,0.554,0.446,0.0,"The NYPD made an eighth arrest in the fatal stabbing of a Bronx teenager, who was brutally attacked outside a deli… https://t.co/JmCkzZCqOv",15,@cbsnews
115,0.0,2018-06-26 21:45:30+00:00,1.0,0.0,0.0,"HHS official says 2,047 children who were separated from their families under  President Trump's ""zero-tolerance po… https://t.co/hGsLTac02S",16,@cbsnews
116,0.0,2018-06-26 21:30:56+00:00,0.702,0.149,0.149,"In its decision to uphold the travel ban, the Supreme Court also repudiated a long-discredited ruling that stood un… https://t.co/lvMfXsnNQN",17,@cbsnews
117,0.0,2018-06-26 21:15:44+00:00,1.0,0.0,0.0,"Authorities are responding to reports of a ""very large"" explosion near a hospital in Gatesville, Texas, local offic… https://t.co/8qmlgt7DO8",18,@cbsnews
118,-0.296,2018-06-26 20:59:56+00:00,0.901,0.099,0.0,Man opens Reese's Peanut Butter Cup and finds no peanut butter inside -- a few weeks later he got another surprise… https://t.co/6OPw4mFeV5,19,@cbsnews
119,0.0,2018-06-26 20:44:49+00:00,1.0,0.0,0.0,"Anonymous and provocative street artist Banksy appears to have left his mark on Paris, painting several new works t… https://t.co/5bfFDxHQM4",20,@cbsnews
120,-0.494,2018-06-26 20:41:56+00:00,0.824,0.176,0.0,"Possible explosion, partial collapse reported at hospital in Gatesville, Texas, according to CBS News affiliate… https://t.co/SruV9PapeM",21,@cbsnews
121,0.0,2018-06-26 20:29:51+00:00,1.0,0.0,0.0,"Seventeen states, including Washington, New York and California, sued President Trump's administration in an effort… https://t.co/AZPmYQCYc4",22,@cbsnews
122,-0.477,2018-06-26 20:12:45+00:00,0.846,0.154,0.0,"David Lynch believes pro-Trump comments were taken out of context, says president is ""causing suffering and divisio… https://t.co/oK5mRVRKaz",23,@cbsnews
123,0.542,2018-06-26 20:03:08+00:00,0.594,0.129,0.277,"President Trump hands Medal of Honor to World War II veteran Lt. Garlin Conner's widow, who accepted it on his beha… https://t.co/v4Rz5kHvip",24,@cbsnews
124,-0.183,2018-06-26 19:54:38+00:00,0.506,0.26,0.234,"""Lieutenant Connor's courageous actions killed roughly 50 German soldiers, injured 100 more and saved so many Ameri… https://t.co/7YV6ADckiy",25,@cbsnews
125,0.34,2018-06-26 19:44:04+00:00,0.625,0.143,0.232,"WATCH NOW: President Trump presents Medal of Honor posthumously to Army 1st Lt. Garlin Conner, a World War II veter… https://t.co/NRjWanaetP",26,@cbsnews
126,0.0,2018-06-26 19:32:04+00:00,1.0,0.0,0.0,Restaurants bearing some version of the Red Hen name are trying to distance themselves from the decision by one bus… https://t.co/C2GoDwQWJo,27,@cbsnews
127,0.0,2018-06-26 19:09:44+00:00,1.0,0.0,0.0,Flamingo that escaped a Kansas zoo in 2005 has been spotted in Texas https://t.co/kuFqGzK3gS https://t.co/jElF6uQ1CE,28,@cbsnews
128,-0.625,2018-06-26 18:35:31+00:00,0.779,0.221,0.0,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/P43waOVnS9",29,@cbsnews
